,0,1,2
19557,18,19,inf
19558,18,19,inf
19559,18,19,inf
19560,18,19,inf
19561,18,19,inf
19562,18,19,inf
19563,18,19,inf
19566,18,19,inf
19567,18,19,inf
19568,18,19,inf
19569,18,19,inf
19570,18,19,inf
19572,18,19,inf
19573,18,19,inf
19574,18,19,inf
19576,18,19,inf
19577,18,19,inf
19578,18,19,inf
19579,18,19,inf
19581,18,19,inf
19582,18,19,inf
19583,18,19,inf
19585,18,19,inf
19586,18,19,inf
19587,18,19,inf
19588,18,19,inf
19589,18,19,inf
19590,18,19,inf
19591,18,19,inf
19592,18,19,inf
19593,18,19,inf
19596,18,19,inf
19597,18,19,inf
19598,18,19,inf
19599,18,19,inf
20250,19,20,inf
20251,19,20,inf
20252,19,20,inf
20253,19,20,inf
20254,19,20,inf
20255,19,20,inf
20256,19,20,inf
20257,19,20,inf
20259,19,20,inf
20260,19,20,inf
20261,19,20,inf
20263,19,20,inf
20264,19,20,inf
20265,19,20,inf
20267,19,20,inf
20268,19,20,inf
20269,19,20,inf
20270,19,20,inf
20271,19,20,inf
20272,19,20,inf
20273,19,20,inf
20274,19,20,inf
20275,19,20,inf
20276,19,20,inf
20279,19,20,inf
20280,19,20,inf
20282,19,20,inf
20283,19,20,inf
20285,19,20,inf
20286,19,20,inf
20287,19,20,inf
20288,19,20,inf
20289,19,20,inf
20291,19,20,inf
20292,19,20,inf
20293,19,20,inf
20295,19,20,inf
20297,19,20,inf
20298,19,20,inf
20299,19,20,inf
20900,20,21,inf
20901,20,21,inf
20902,20,21,inf
20903,20,21,inf
20904,20,21,inf
20905,20,21,inf
20906,20,21,inf
20907,20,21,inf
20908,20,21,inf
20910,20,21,inf
20911,20,21,inf
20912,20,21,inf
20914,20,21,inf
20915,20,21,inf
20916,20,21,inf
20917,20,21,inf
20918,20,21,inf
20919,20,21,inf
20920,20,21,inf
20921,20,21,inf
20922,20,21,inf
20923,20,21,inf
20924,20,21,inf
20925,20,21,inf
20926,20,21,inf
20927,20,21,inf
20928,20,21,inf
20929,20,21,inf
20930,20,21,inf
20931,20,21,inf
20932,20,21,inf
20933,20,21,inf
20934,20,21,inf
20935,20,21,inf
20936,20,21,inf
20937,20,21,inf
20938,20,21,inf
20940,20,21,inf
20941,20,21,inf
20942,20,21,inf
20943,20,21,inf
20944,20,21,inf
20945,20,21,inf
20946,20,21,inf
20947,20,21,inf
20948,20,21,inf
20949,20,21,inf
21502,21,22,inf
21503,21,22,inf
21504,21,22,inf
21505,21,22,inf
21506,21,22,inf
21507,21,22,inf
21508,21,22,inf
21509,21,22,inf
21510,21,22,inf
21513,21,22,inf
21514,21,22,inf
21515,21,22,inf
21517,21,22,inf
21518,21,22,inf
21519,21,22,inf
21520,21,22,inf
21521,21,22,inf
21522,21,22,inf
21523,21,22,inf
21524,21,22,inf
21525,21,22,inf
21526,21,22,inf
21527,21,22,inf
21528,21,22,inf
21529,21,22,inf
21530,21,22,inf
21531,21,22,inf
21533,21,22,inf
21534,21,22,inf
21536,21,22,inf
21537,21,22,inf
21538,21,22,inf
21539,21,22,inf
21540,21,22,inf
21541,21,22,inf
21544,21,22,inf
21545,21,22,inf
21546,21,22,inf
21547,21,22,inf
21548,21,22,inf
21549,21,22,inf
22050,22,23,inf
22051,22,23,inf
22052,22,23,inf
22054,22,23,inf
22056,22,23,inf
22057,22,23,inf
22058,22,23,inf
22060,22,23,inf
22061,22,23,inf
22062,22,23,inf
22063,22,23,inf
22064,22,23,inf
22065,22,23,inf
22066,22,23,inf
22067,22,23,inf
22068,22,23,inf
22069,22,23,inf
22070,22,23,inf
22071,22,23,inf
22072,22,23,inf
22073,22,23,inf
22074,22,23,inf
22075,22,23,inf
22076,22,23,inf
22077,22,23,inf
22078,22,23,inf
22079,22,23,inf
22080,22,23,inf
22081,22,23,inf
22082,22,23,inf
22083,22,23,inf
22084,22,23,inf
22085,22,23,inf
22086,22,23,inf
22088,22,23,inf
22089,22,23,inf
22090,22,23,inf
22091,22,23,inf
22092,22,23,inf
22093,22,23,inf
22094,22,23,inf
22095,22,23,inf
22096,22,23,inf
22097,22,23,inf
22099,22,23,inf
22550,23,24,inf
22551,23,24,inf
22552,23,24,inf
22553,23,24,inf
22554,23,24,inf
22555,23,24,inf
22556,23,24,inf
22557,23,24,inf
22558,23,24,inf
22559,23,24,inf
22560,23,24,inf
22561,23,24,inf
22562,23,24,inf
22563,23,24,inf
22564,23,24,inf
22565,23,24,inf
22566,23,24,inf
22567,23,24,inf
22568,23,24,inf
22570,23,24,inf
22571,23,24,inf
22572,23,24,inf
22574,23,24,inf
22575,23,24,inf
22576,23,24,inf
22577,23,24,inf
22578,23,24,inf
22579,23,24,inf
22580,23,24,inf
22581,23,24,inf
22584,23,24,inf
22585,23,24,inf
22586,23,24,inf
22587,23,24,inf
22588,23,24,inf
22589,23,24,inf
22590,23,24,inf
22591,23,24,inf
22592,23,24,inf
22593,23,24,inf
22594,23,24,inf
22595,23,24,inf
22596,23,24,inf
22598,23,24,inf
22599,23,24,inf
23000,24,25,inf
23001,24,25,inf
23002,24,25,inf
23003,24,25,inf
23004,24,25,inf
23005,24,25,inf
23006,24,25,inf
23007,24,25,inf
23008,24,25,inf
23009,24,25,inf
23011,24,25,inf
23012,24,25,inf
23013,24,25,inf
23014,24,25,inf
23015,24,25,inf
23016,24,25,inf
23018,24,25,inf
23019,24,25,inf
23020,24,25,inf
23021,24,25,inf
23022,24,25,inf
23023,24,25,inf
23024,24,25,inf
23025,24,25,inf
23026,24,25,inf
23027,24,25,inf
23028,24,25,inf
23029,24,25,inf
23030,24,25,inf
23032,24,25,inf
23034,24,25,inf
23035,24,25,inf
23036,24,25,inf
23037,24,25,inf
23038,24,25,inf
23039,24,25,inf
23040,24,25,inf
23041,24,25,inf
23042,24,25,inf
23043,24,25,inf
